month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
8,2,22,2,BATTERY,0,0,831,2012
11,0,20,2,NARCOTICS,1,0,2534,2012
1,3,19,2,THEFT,0,0,424,2012
3,1,16,1,CRIMINAL DAMAGE,0,1,111,2012
1,3,20,2,BATTERY,0,1,1524,2012
4,1,17,1,BATTERY,0,0,413,2012
2,3,16,1,BATTERY,0,1,332,2012
1,3,19,2,THEFT,1,0,224,2012
8,2,23,2,BATTERY,0,0,2521,2012
1,3,14,1,BATTERY,0,1,1133,2012
6,2,21,2,THEFT,0,0,2512,2012
4,1,23,2,THEFT,0,0,1924,2012
6,2,0,2,THEFT,0,0,1433,2012
5,1,0,2,THEFT,0,0,2411,2012
2,3,0,2,THEFT,0,0,1124,2012
1,3,0,2,NARCOTICS,1,0,634,2012
2,3,16,1,NARCOTICS,1,0,2233,2012
11,0,22,2,NARCOTICS,1,0,924,2012
7,2,9,0,THEFT,0,0,1034,2012
12,3,2,2,THEFT,0,0,213,2012
10,0,22,2,THEFT,0,0,1413,2012
9,0,20,2,BATTERY,1,0,1215,2012
11,0,5,2,BATTERY,0,0,2515,2012
12,3,8,0,THEFT,0,0,813,2012
9,0,16,1,BATTERY,0,0,323,2012
4,1,12,1,NARCOTICS,1,0,421,2012
3,1,21,2,BATTERY,0,1,1211,2012
5,1,15,1,BATTERY,0,0,1031,2012
2,3,16,1,BATTERY,0,0,2213,2012
11,0,22,2,NARCOTICS,1,0,624,2012
7,2,20,2,THEFT,0,0,1833,2012
9,0,12,1,THEFT,0,0,1931,2012
1,3,8,0,CRIMINAL DAMAGE,0,0,726,2012
10,0,0,2,THEFT,0,0,2033,2012
3,1,0,2,BATTERY,1,0,1834,2012
1,3,18,2,CRIMINAL DAMAGE,0,0,713,2012
7,2,11,0,THEFT,0,0,211,2012
11,0,15,1,NARCOTICS,1,0,1522,2012
8,2,12,1,THEFT,0,0,413,2012
4,1,11,0,NARCOTICS,1,0,1532,2012
6,2,17,1,THEFT,0,0,1634,2012
11,0,18,2,THEFT,1,0,2432,2012
1,3,23,2,NARCOTICS,1,0,1112,2012
1,3,11,0,THEFT,0,0,1323,2012
1,3,10,0,THEFT,0,0,524,2012
7,2,0,2,THEFT,0,0,1834,2012
